发烧, fā shāo
生病, shēng bìng
头疼, tóu téng
感冒, gǎn mào
头, tóu
肚子, dù zi
应该, yīng gāi
需要, xū yào
一定要, yī dìng yào
药, yào
留, liú
别, bié
休息, xiū xi
休息一下, xiū xi yī xià
请假, qǐng jià
舒服, shū fu
去, qù
走吧, zǒu bā
出去, chū qù
不出去, bù chū qù
没有出去, méi yǒu chū qù
来, lái
来过, lái guò
没来过, méi lái guò
不好意思, bù hǎo yì si
错, cuò
一起, yī qǐ
约会, yuē huì
告诉, gào sù
给我打电话, gěi wǒ dǎ diàn huà
时间, shí jiān
没有时间, méi yǒu shí jiān
有时间, yǒu shí jiān
有空, yǒu kòng
没有空, méi yǒu kòng
什么时候, shén me shí hou
家, jiā
这家, zhè jiā
那家, nà jiā
打, dǎ
踢, tī
篮球, lán qiú
足球, zú qiú
游泳, yóu yǒng
起码, qǐ mǎ
跑步, pǎo bù
运动, yùn dòng
浪漫, làng màn
